Source,Geography,Race,SES Vulnerability,Cause,Deaths
Georgia,DeKalb,Multiracial,Very Low,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Multiracial,Very Low,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Multiracial,Very Low,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Multiracial,Very Low,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Multiracial,Very Low,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Multiracial,Very Low,All COPD Except Asthma,0.0
Georgia,DeKalb,Multiracial,Very Low,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Multiracial,Very Low,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Multiracial,Very Low,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Multiracial,Very Low,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Multiracial,Very Low,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Multiracial,Very Low,All Other Unintentional Injury,0.0
Georgia,DeKalb,Multiracial,Very Low,Anemias,0.0
Georgia,DeKalb,Multiracial,Very Low,Assault (Homicide),0.0
Georgia,DeKalb,Multiracial,Very Low,Asthma,0.0
Georgia,DeKalb,Multiracial,Very Low,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Multiracial,Very High,Infections of Kidney,0.0
Georgia,DeKalb,Multiracial,Very High,Influenza,0.0
Georgia,DeKalb,Multiracial,Very High,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Multiracial,Very High,Legal Intervention,0.0
Georgia,DeKalb,Multiracial,Very High,Leukemia,0.0
Georgia,DeKalb,Multiracial,Very High,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Multiracial,Very High,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Multiracial,Very High,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Multiracial,Very High,Pneumonia,0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Multiracial,Very High,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Multiracial,Very High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Multiracial,Very High,Meningococcal Infection,0.0
Georgia,DeKalb,Multiracial,Very High,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Multiracial,Very High,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Multiracial,Very High,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Multiracial,Very High,Parkinsons Disease,0.0
Georgia,DeKalb,Multiracial,Very High,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Multiracial,Very Low,Meningococcal Infection,0.0
Georgia,DeKalb,Multiracial,Very Low,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Multiracial,Very Low,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Multiracial,Very Low,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Multiracial,Very Low,Parkinsons Disease,0.0
Georgia,DeKalb,Multiracial,Very Low,SIDS,0.0
Georgia,DeKalb,Multiracial,Very Low,Septicemia,0.0
Georgia,DeKalb,Multiracial,Very Low,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Multiracial,Very Low,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,All COPD Except Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Average,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Multiracial,Very Low,Suffocation,0.0
Georgia,DeKalb,Multiracial,Very Low,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Multiracial,Very Low,Diabetes Mellitus,0.0
Georgia,DeKalb,Multiracial,Very Low,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Multiracial,Very Low,Falls,0.0
Georgia,DeKalb,Multiracial,Very Low,Hodgkins Disease,0.0
Georgia,DeKalb,Multiracial,Very Low,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Multiracial,Very Low,Infections of Kidney,0.0
Georgia,DeKalb,Multiracial,Very Low,Influenza,0.0
Georgia,DeKalb,Multiracial,Very Low,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Multiracial,Very Low,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Multiracial,Very Low,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Multiracial,Very Low,Leukemia,0.0
Georgia,DeKalb,Multiracial,Very Low,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Multiracial,Very Low,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Multiracial,Very Low,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Multiracial,Very Low,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Multiracial,Very Low,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Multiracial,Very Low,Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Covid-19,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Diabetes Mellitus,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Falls,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Hodgkins Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Infections of Kidney,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Influenza,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Leukemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Leukemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,All Other Unintentional Injury,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Alzheimers Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Assault (Homicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Cerebrovascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Covid-19,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Diabetes Mellitus,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Falls,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Hodgkins Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Infections of Kidney,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Influenza,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All Other Unintentional Injury,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Alzheimers Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Assault (Homicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Certain Conditions Originating in the Perinatal Period,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Covid-19,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Diabetes Mellitus,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Diseases of the Musculoskeletal System and Connective Tissue,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Falls,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Hodgkins Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Infections of Kidney,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Cerebrovascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,All COPD Except Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,High,SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,SIDS,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Septicemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Suffocation,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Tuberculosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Accidental Discharge of Firearms,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Accidental Drowning and Submersion,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"Accidental Exposure to Smoke, Fire and Flames",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Accidental Poisoning and Exposure to Noxious Substances,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Acute Rheumatic Fever and Chronic Rheumatic Heart Diseases,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Alcoholic Liver Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Influenza,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All Other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All Other Diseases of the Genitourinary System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All Other Diseases of the Nervous System,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,"All Other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All Other Mental and Behavioral Disorders,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All Other Unintentional Injury,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Alzheimers Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Anemias,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Cerebrovascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,All COPD Except Asthma,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Ischemic Heart and Vascular Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Legal Intervention,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Leukemia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Malignant Melanoma of the Skin,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Malignant Neoplasm of Pancreas,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasm of Prostate, and Testis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Malignant Neoplasm of Stomach,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Malignant Neoplasm of the Breast,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Pneumonia,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Meningococcal Infection,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Mental and behavioral disorders due to psychoactive substance use,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Motor Vehicle Crashes,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,Parkinsons Disease,0.0
Georgia,DeKalb,Native Hawaiian or Other Pacific Islander,Low,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Alcoholic Liver Disease,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All Other Unintentional Injury,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Diseases of the Nervous System,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Mental and Behavioral Disorders,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,All other Other Diseases of Circulatory System,0.0
Georgia,Fulton,White,Very High,Covid-19,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Assault (Homicide),0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Asthma,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Birth-Related Infections,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Bladder Cancer,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Blood Poisoning,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Brain Cancer,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Breast Cancer,0.0
NCHS,Fulton,American Indian or Alaska Native,Average,Bronchitis,0.0
