Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,DeKalb,Multiracial,Average,Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Multiracial,Average,Kidney Cancer,0.0
OASIS,DeKalb,Multiracial,Average,Kidney Diseases,0.0
OASIS,DeKalb,Multiracial,Average,Kidney Infections,0.0
OASIS,DeKalb,Multiracial,Average,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Multiracial,Average,Legal Intervention,0.0
OASIS,DeKalb,Multiracial,Average,Flu,0.0
OASIS,DeKalb,Multiracial,High,Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,High,Drowning,0.0
OASIS,DeKalb,Multiracial,High,Emphysema,0.0
OASIS,DeKalb,Multiracial,High,Falls,0.0
OASIS,DeKalb,Multiracial,High,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Multiracial,High,Flu,0.0
OASIS,DeKalb,Multiracial,High,Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,High,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Multiracial,High,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Multiracial,Average,Testicular Cancer,0.0
